X_validation,Original_Y,Predicted_y
5.222190020960000290e-01,1.175299999999999956e-01,1.173423081636428833e-01
4.577370942350000305e-01,9.647999999999999632e-02,9.635610133409500122e-02
4.933661699440000104e-01,1.078400000000000053e-01,1.076558977365493774e-01
5.236425081189999275e-01,1.180199999999999999e-01,1.178332045674324036e-01
9.996720921230000112e-01,4.893399999999999417e-01,4.814853966236114502e-01
8.657708566269999295e-01,2.877300000000000413e-01,2.875998318195343018e-01
6.655589178440000087e-01,1.734600000000000031e-01,1.735789328813552856e-01
4.184585095769999818e-01,8.467999999999999139e-02,8.467599004507064819e-02
9.683307267330000245e-01,3.956199999999999717e-01,3.945880532264709473e-01
9.891480418679999831e-01,4.387499999999999734e-01,4.399827420711517334e-01
6.561698051090000261e-01,1.693300000000000083e-01,1.694366037845611572e-01
5.888295991159999687e-01,1.417599999999999971e-01,1.416984498500823975e-01
9.877671094329999457e-01,4.349800000000000333e-01,4.358523190021514893e-01
6.284643997840000385e-01,1.575700000000000156e-01,1.576184928417205811e-01
1.397528009319999875e-01,1.969999999999999876e-02,1.939764060080051422e-02
8.686954096160000027e-01,2.899800000000000155e-01,2.898735105991363525e-01
8.581077217529999857e-01,2.819599999999999884e-01,2.817760705947875977e-01
6.328482418299999912e-01,1.593900000000000039e-01,1.594493687152862549e-01
7.480257415240000318e-01,2.134500000000000008e-01,2.134431600570678711e-01
6.798363476140000250e-01,1.798900000000000221e-01,1.800183802843093872e-01
8.251577710439998992e-01,2.589500000000000135e-01,2.586745023727416992e-01
8.616830621100001197e-01,2.846299999999999941e-01,2.844696342945098877e-01
9.974102479080000361e-01,4.700500000000000234e-01,4.707662761211395264e-01
8.806175439519999815e-01,2.994499999999999940e-01,2.994551658630371094e-01
6.341420661190000363e-01,1.599299999999999888e-01,1.599925160408020020e-01
9.996866920510000254e-01,4.895800000000000152e-01,4.815583527088165283e-01
9.993949345149999441e-01,4.855200000000000071e-01,4.801088571548461914e-01
9.917996740680000700e-01,4.467399999999999705e-01,4.486339688301086426e-01
9.254488797920000787e-01,3.406600000000000183e-01,3.409598469734191895e-01
6.763218774560000313e-01,1.782900000000000040e-01,1.784171462059020996e-01
3.159451314119999799e-01,5.712999999999999329e-02,5.734169855713844299e-02
7.595096085379999806e-01,2.196400000000000019e-01,2.195852547883987427e-01
1.821065628790000113e-01,2.758000000000000035e-02,2.708553895354270935e-02
9.763900681249999547e-01,4.097899999999999876e-01,4.088712632656097412e-01
9.512156899739999671e-01,3.707099999999999840e-01,3.703792393207550049e-01
7.919166807379999229e-01,2.381300000000000083e-01,2.379347831010818481e-01
6.888536745430000330e-02,8.240000000000000796e-03,1.026089489459991455e-02
4.719051591239999954e-01,1.009200000000000097e-01,1.007652804255485535e-01
9.273038262060000481e-01,3.426199999999999801e-01,3.429061770439147949e-01
9.988742246760000665e-01,4.802500000000000102e-01,4.775713086128234863e-01
9.265213209139999684e-01,3.417899999999999827e-01,3.420823514461517334e-01
9.269555439489999271e-01,3.422499999999999987e-01,3.425389528274536133e-01
6.789381571989999697e-01,1.794800000000000006e-01,1.796081364154815674e-01
9.903956619740000855e-01,4.423699999999999855e-01,4.439285993576049805e-01
7.672430527539999545e-01,2.239099999999999979e-01,2.238211184740066528e-01
7.203252066060000791e-01,1.991999999999999882e-01,1.992838233709335327e-01
7.586857063209999641e-01,2.191899999999999959e-01,2.191388309001922607e-01
9.582606713500000373e-01,3.803099999999999814e-01,3.796561658382415771e-01
6.249216836379999362e-01,1.561099999999999988e-01,1.561493724584579468e-01
3.281590378940000274e-01,6.017999999999999738e-02,6.039823219180107117e-02
5.125740781629999354e-01,1.142400000000000082e-01,1.140488907694816589e-01
4.834408865829999957e-01,1.046099999999999947e-01,1.044367477297782898e-01
3.052958042130000105e-01,5.452000000000000596e-02,5.471472814679145813e-02
7.799412700049999092e-01,2.311099999999999821e-01,2.309647649526596069e-01
1.694530772639999960e-01,2.514999999999999875e-02,2.464709803462028503e-02
7.564987103659999157e-01,2.179999999999999993e-01,2.179582118988037109e-01
7.753521770749999265e-01,2.284800000000000164e-01,2.283549904823303223e-01
9.970857180230000560e-01,4.682300000000000351e-01,4.693210124969482422e-01
6.773568602020000329e-01,1.787600000000000022e-01,1.788876056671142578e-01
8.231031009639999674e-01,2.575999999999999956e-01,2.573255598545074463e-01
7.834449967080000521e-01,2.331400000000000139e-01,2.329795807600021362e-01
4.213024890950000101e-01,8.551000000000000267e-02,8.549625426530838013e-02
8.013026441189999849e-01,2.437999999999999889e-01,2.435710132122039795e-01
7.203051339100000616e-01,1.991900000000000059e-01,1.992738544940948486e-01
2.032906805510000248e-01,3.178999999999999881e-02,3.138878196477890015e-02
9.999752290729999604e-01,4.970699999999999563e-01,4.830117523670196533e-01
6.589842198100001047e-01,1.705599999999999894e-01,1.706707626581192017e-01
7.555762317030000341e-01,2.174999999999999989e-01,2.174621075391769409e-01
3.259346106250000097e-01,5.962000000000000632e-02,5.983802676200866699e-02
8.301077859029999395e-01,2.622400000000000286e-01,2.619648873805999756e-01
9.833883370170000138e-01,4.242699999999999805e-01,4.241688847541809082e-01
1.217814368429999961e-01,1.658000000000000099e-02,1.659846119582653046e-02
8.103257612319999525e-01,2.494000000000000106e-01,2.491454333066940308e-01
3.885380323709999861e-01,7.617000000000000159e-02,7.626921683549880981e-02
9.004457696300000036e-01,3.164199999999999791e-01,3.166317045688629150e-01
9.078167891789999944e-01,3.231900000000000328e-01,3.234641253948211670e-01
6.964871921559999679e-01,1.876299999999999912e-01,1.877534091472625732e-01
8.261572867309999735e-01,2.596100000000000074e-01,2.593342363834381104e-01
6.467225763100000746e-01,1.652500000000000080e-01,1.653399616479873657e-01
7.556685748749999432e-01,2.175499999999999934e-01,2.175117135047912598e-01
9.613955230779999139e-01,3.848500000000000254e-01,3.840537965297698975e-01
2.157101989469999703e-01,3.433999999999999553e-02,3.402131050825119019e-02
8.831046451119999308e-01,3.014900000000000357e-01,3.015208542346954346e-01
6.487980976849999637e-01,1.661400000000000099e-01,1.662339568138122559e-01
9.994956662209999454e-01,4.867799999999999905e-01,4.806069433689117432e-01
8.611773016910000411e-01,2.842500000000000027e-01,2.840861380100250244e-01
9.623168062369998887e-01,3.862200000000000077e-01,3.853843510150909424e-01
2.201204127589999893e-01,3.525999999999999968e-02,3.497320041060447693e-02
9.852109365680000730e-01,4.285300000000000220e-01,4.287931025028228760e-01
1.791163191820000222e-01,2.700000000000000316e-02,2.649965509772300720e-02
9.997729745440000482e-01,4.911300000000000110e-01,4.819907844066619873e-01
6.840640795300000354e-01,1.818299999999999916e-01,1.819588094949722290e-01
9.792096646669999904e-01,4.153199999999999670e-01,4.146271049976348877e-01
6.698875208429999617e-01,1.753900000000000181e-01,1.755130439996719360e-01
6.680978085819999635e-01,1.745900000000000230e-01,1.747114360332489014e-01
9.947079531559999133e-01,4.571999999999999953e-01,4.593837261199951172e-01
2.320193033020000184e-01,3.778000000000000108e-02,3.758210688829421997e-02
8.594661492699999794e-01,2.829699999999999993e-01,2.827947139739990234e-01
7.451178077609998951e-01,2.119099999999999873e-01,2.119145393371582031e-01
9.025561409850000327e-01,3.183300000000000018e-01,3.185612857341766357e-01
9.634507040299999936e-01,3.879299999999999971e-01,3.870481252670288086e-01
3.450165014739999814e-01,6.448999999999999178e-02,6.469685584306716919e-02
4.182180711509999593e-01,8.461000000000000465e-02,8.460685610771179199e-02
9.967633150239999518e-01,4.665199999999999902e-01,4.679071605205535889e-01
6.213066107800000459e-01,1.546299999999999897e-01,1.546597927808761597e-01
7.745437183629999556e-01,2.280199999999999727e-01,2.278985679149627686e-01
8.284467750380000162e-01,2.611300000000000288e-01,2.608543038368225098e-01
8.801019446070000862e-01,2.990300000000000180e-01,2.990298867225646973e-01
2.335118919610000010e-01,3.810000000000000192e-02,3.791332989931106567e-02
8.740597885290000146e-01,2.941799999999999971e-01,2.941210269927978516e-01
6.045347426950000713e-01,1.478900000000000214e-01,1.478729546070098877e-01
7.834965260770000439e-01,2.331699999999999884e-01,2.330093532800674438e-01
8.034514870139999321e-01,2.451199999999999768e-01,2.448841929435729980e-01
5.519552346539999821e-01,1.280099999999999849e-01,1.278597414493560791e-01
9.940077127449999939e-01,4.544600000000000306e-01,4.566626548767089844e-01
5.656086658869999839e-01,1.330000000000000071e-01,1.328784823417663574e-01
9.271062601320000374e-01,3.424099999999999921e-01,3.426977694034576416e-01
8.332251255149999425e-01,2.643400000000000194e-01,2.640673220157623291e-01
7.760713001029999614e-01,2.288900000000000101e-01,2.287618219852447510e-01
5.113317831710000316e-01,1.138200000000000045e-01,1.136287897825241089e-01
6.830431968250000319e-01,1.813599999999999934e-01,1.814888119697570801e-01
8.730982040340000694e-01,2.934199999999999586e-01,2.933521270751953125e-01
9.639358870270000601e-01,3.886699999999999600e-01,3.877693712711334229e-01
3.703118303480000262e-01,7.117999999999999328e-02,7.133451104164123535e-02
9.232890513439999669e-01,3.384099999999999886e-01,3.387208580970764160e-01
9.771677011200000651e-01,4.112800000000000344e-01,4.104112982749938965e-01
6.067284853000000089e-01,1.487600000000000033e-01,1.487492173910140991e-01
5.764871238740000292e-01,1.370599999999999874e-01,1.369652152061462402e-01
4.481767801640000326e-01,9.353999999999999815e-02,9.344130009412765503e-02
2.339774976979999976e-01,3.819999999999999785e-02,3.801681101322174072e-02
9.472574966040000488e-01,3.656300000000000106e-01,3.654611110687255859e-01
3.133103732559999743e-01,5.647999999999999549e-02,5.668852478265762329e-02
9.568149997319999600e-02,1.230000000000000017e-02,1.310793403536081314e-02
5.189527132719999880e-01,1.164099999999999857e-01,1.162206530570983887e-01
3.737488766690000297e-01,7.211000000000000743e-02,7.225491851568222046e-02
1.355607436490000040e-01,1.896000000000000116e-02,1.871738396584987640e-02
6.966351662199999906e-01,1.877000000000000057e-01,1.878233104944229126e-01
4.969225787160000407e-01,1.090099999999999958e-01,1.088232249021530151e-01
4.887459048330000111e-01,1.063299999999999940e-01,1.061503291130065918e-01
6.941982778650001018e-01,1.865499999999999936e-01,1.866751313209533691e-01
8.162014706849999301e-01,2.531300000000000217e-01,2.528635561466217041e-01
2.796039681679999833e-01,4.841000000000000164e-02,4.851798713207244873e-02
6.871138915549999115e-01,1.832400000000000140e-01,1.833684146404266357e-01
8.829712648949999965e-01,3.013800000000000368e-01,3.014095127582550049e-01
3.187357231529999724e-02,3.289999999999999956e-03,7.472704630345106125e-03
8.636035439339999620e-01,2.860800000000000010e-01,2.859333455562591553e-01
4.271218287430000315e-01,8.722000000000000586e-02,8.718653023242950439e-02
9.988627925530000340e-01,4.801500000000000212e-01,4.775162339210510254e-01
9.982074117229999821e-01,4.750800000000000023e-01,4.744125306606292725e-01
7.156751600910001010e-02,8.630000000000000518e-03,1.051275897771120071e-02
2.727317914400000376e-01,4.682000000000000051e-02,4.689396172761917114e-02
3.863380056899999859e-01,7.556000000000000216e-02,7.566637545824050903e-02
9.842873366209999864e-01,4.263399999999999412e-01,4.264104068279266357e-01
8.272891316539999762e-01,2.603599999999999803e-01,2.600841522216796875e-01
2.324861722580000012e-01,3.788000000000000395e-02,3.768561407923698425e-02
1.940908715150000130e-01,2.993999999999999787e-02,2.948878705501556396e-02
5.730527038079999969e-01,1.357700000000000018e-01,1.356664299964904785e-01
6.135813603290000140e-01,1.514999999999999958e-01,1.515085548162460327e-01
9.422006922910000082e-01,3.594199999999999617e-01,3.594248592853546143e-01
9.970728528760000042e-01,4.681600000000000206e-01,4.692642986774444580e-01
8.386670633980000122e-01,2.680599999999999650e-01,2.677958607673645020e-01
9.992886632799999891e-01,4.843000000000000083e-01,4.795857071876525879e-01
9.948798457149999885e-01,4.578999999999999737e-01,4.600655138492584229e-01
9.890733113519999398e-01,4.385399999999999854e-01,4.397532343864440918e-01
3.009168229399999950e-01,5.346000000000000058e-02,5.364455282688140869e-02
9.205852491700000639e-01,3.356399999999999939e-01,3.359580039978027344e-01
7.445489462690000337e-01,2.116099999999999925e-01,2.116167396306991577e-01
8.537694311779999712e-01,2.787699999999999623e-01,2.785611748695373535e-01
3.828964086580000092e-01,7.460999999999999577e-02,7.472737133502960205e-02
7.366768263850000942e-01,2.074999999999999900e-01,2.075353264808654785e-01
8.860658881419999355e-01,3.039499999999999980e-01,3.040120601654052734e-01
9.646897539009999800e-01,3.898300000000000098e-01,3.889014124870300293e-01
9.889410145790000772e-01,4.381700000000000039e-01,4.393482208251953125e-01
1.699804384199999907e-01,2.525000000000000161e-02,2.474653534591197968e-02
7.378930653919999472e-01,2.081300000000000094e-01,2.081611454486846924e-01
7.418457610320000617e-01,2.101900000000000157e-01,2.102069109678268433e-01
6.117389416630000243e-01,1.507599999999999774e-01,1.507633626461029053e-01
